word,latitude,longitude
lights,32.7152778,-117.1563889
lights,42.9116667,-73.8686111
lights,35.1858333,-86.1122222
lights,37.1041667,-113.5833333
lights,35.2225,-97.4391667
lights,41.39,-95.3622222
lights,41.39,-95.3622222
lights,38.8813889,-94.8188889
lights,31.2230556,-85.3905556
lights,42.8863889,-78.8786111
lights,40.015,-105.27
lights,42.4775,-83.0277778
lights,39.0638889,-108.55
lights,41.4244444,-91.0430556
lights,31.5086111,-82.85
lights,41.7613889,-88.4436111
lights,38.6272222,-90.1977778
lights,43.1788889,-88.1172222
lights,44.8408333,-93.2980556
lights,42.2711111,-89.0938889
lights,33.8941667,-78.4269444
lights,36.1888889,-95.7455556
lights,39.5105556,-79.7986111
lights,39.4797222,-80.31
lights,38.5816667,-121.4933333
lights,37.6455556,-84.7722222
lights,37.6455556,-84.7722222
lights,37.6455556,-84.7722222
lights,40.7241667,-73.7155556
lights,43.7486111,-87.9769444
lights,43.7486111,-87.9769444
lights,36.1658333,-86.7844444
lights,41.2230556,-111.9730556
lights,29.1869444,-82.1402778
lights,38.9805556,-76.3147222
lights,39.9336111,-82.4725
lights,47.2033333,-122.2391667
lights,42.1391667,-87.9288889
lights,32.7152778,-117.1563889
lights,42.3241667,-83.4002778
lights,48.0519444,-122.1758333
lights,41.4516667,-82.0355556
